
=====================================================================================
PROCESSANDO dN/dpT: |eta| < 0.5
=====================================================================================
  [Sanidade OK | Soft - Only FSR | Ds_mesons | eta_2p0]: N_ev = 999998 | Integral dN/dpT = 0.0038 | Media <N> (Mult) = 0.0038 (Dif: 0.00%)
  [Sanidade OK | Hard - Only FSR | Ds_mesons | eta_2p0]: N_ev = 1000002 | Integral dN/dpT = 0.0006 | Media <N> (Mult) = 0.0006 (Dif: 0.00%)
  [Sanidade OK | Soft - No Extra | Ds_mesons | eta_2p0]: N_ev = 1000003 | Integral dN/dpT = 0.0022 | Media <N> (Mult) = 0.0022 (Dif: 0.00%)
  [Sanidade OK | Hard - No Extra | Ds_mesons | eta_2p0]: N_ev = 1000000 | Integral dN/dpT = 0.0004 | Media <N> (Mult) = 0.0004 (Dif: 0.00%)

=====================================================================================
PROCESSANDO dN/dpT: |eta| < 3.0
=====================================================================================
  [Sanidade OK | Soft - All Physics | Charged | eta_3p0]: N_ev = 999998 | Integral dN/dpT = 33.1392 | Media <N> (Mult) = 33.1391 (Dif: 0.00%)
  [Sanidade OK | Hard - All Physics | Charged | eta_3p0]: N_ev = 1000000 | Integral dN/dpT = 19.5480 | Media <N> (Mult) = 19.5479 (Dif: 0.00%)
  [Sanidade OK | Soft - No MPI | Charged | eta_3p0]: N_ev = 1000000 | Integral dN/dpT = 21.7968 | Media <N> (Mult) = 21.7969 (Dif: 0.00%)
  [Sanidade OK | Hard - No MPI | Charged | eta_3p0]: N_ev = 1000000 | Integral dN/dpT = 15.1126 | Media <N> (Mult) = 15.1127 (Dif: 0.00%)
  [Sanidade OK | Soft - Only MPI | Charged | eta_3p0]: N_ev = 999997 | Integral dN/dpT = 20.5238 | Media <N> (Mult) = 20.5237 (Dif: 0.00%)
  [Sanidade OK | Hard - Only MPI | Charged | eta_3p0]: N_ev = 1000000 | Integral dN/dpT = 15.9927 | Media <N> (Mult) = 15.9927 (Dif: 0.00%)
