N_ch N_D0 N_D N_Ds
21 0 0 0
16 0 0 0
36 0 0 0
25 0 0 0
40 0 0 0
76 1 1 0
0 0 0 0
20 0 0 0
28 0 0 0
6 0 0 0
56 0 0 0
0 0 0 0
0 0 0 0
56 0 0 0
0 0 0 0
15 0 0 0
0 0 0 0
41 0 0 0
0 0 0 0
13 0 0 0
9 0 0 0
67 0 0 0
0 0 0 0
99 0 0 0
35 0 0 0
0 0 0 0
0 0 0 0
7 0 0 0
4 0 0 0
58 0 0 0
140 0 0 0
23 0 0 0
42 0 0 0
52 1 0 1
116 0 0 0
70 0 0 0
19 0 0 0
14 0 0 0
13 0 0 0
42 0 0 0
77 0 0 0
12 0 0 0
116 0 0 0
91 0 0 0
94 0 0 0
31 0 0 0
101 2 0 0
17 0 0 0
158 0 0 0
46 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
16 0 0 0
46 0 0 0
149 0 0 0
42 0 0 0
16 0 0 0
73 0 0 0
44 0 0 0
0 0 0 0
7 0 0 0
0 0 0 0
37 0 0 0
42 0 0 0
55 0 0 0
0 0 0 0
27 0 0 0
43 0 0 0
43 0 0 0
0 0 0 0
19 0 0 0
147 1 0 0
32 0 0 0
40 0 0 0
19 0 0 0
15 0 0 0
0 0 0 0
13 0 0 0
77 0 0 0
20 0 0 0
36 0 0 0
145 1 0 0
18 0 0 0
92 0 0 0
0 0 0 0
30 0 0 0
15 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
21 0 0 0
0 0 0 0
105 0 0 0
17 0 0 0
67 0 0 0
138 0 0 0
7 0 0 0
27 0 0 0
0 0 0 0
16 0 0 0
0 0 0 0
39 0 0 0
0 0 0 0
47 0 0 0
23 0 0 0
14 0 0 0
6 0 0 0
0 0 0 0
0 0 0 0
1 0 0 0
15 0 0 0
32 0 0 0
17 0 0 0
55 0 0 0
52 2 0 0
3 0 0 0
32 0 0 0
71 0 0 0
0 0 0 0
7 0 0 0
45 0 0 0
88 0 0 0
0 0 0 0
23 0 0 0
0 0 0 0
0 0 0 0
82 1 0 1
0 0 0 0
0 0 0 0
14 0 0 0
69 0 0 0
2 0 0 0
11 0 0 0
30 0 0 0
32 0 0 0
14 0 0 0
40 0 0 0
0 0 0 0
21 0 0 0
8 0 0 0
29 0 0 0
21 0 0 0
6 0 0 0
13 0 0 0
11 0 0 0
94 0 0 0
14 0 0 0
0 0 0 0
0 0 0 0
18 0 0 0
12 0 0 0
0 0 0 0
87 1 0 0
25 0 0 0
16 0 0 0
153 1 1 0
23 0 0 0
174 0 0 0
41 0 0 0
155 1 0 0
0 0 0 0
30 0 0 0
9 0 0 0
3 0 0 0
17 0 0 0
94 4 0 0
0 0 0 0
60 0 0 0
0 0 0 0
62 0 0 0
110 1 1 0
24 0 0 0
12 0 0 0
0 0 0 0
28 0 0 0
0 0 0 0
11 0 0 0
26 0 0 0
22 0 0 0
180 1 0 1
11 0 0 0
0 0 0 0
29 0 0 0
0 0 0 0
33 0 0 0
57 0 0 0
11 0 0 0
69 0 0 0
11 0 0 0
34 0 0 1
0 0 0 0
84 2 0 0
19 0 0 0
54 0 0 0
99 0 0 0
46 2 0 0
58 0 0 0
0 0 0 0
1 0 0 0
13 0 0 0
13 0 0 0
10 0 0 0
11 0 0 0
122 0 0 0
0 0 0 0
50 1 0 0
0 0 0 0
209 0 0 0
30 0 0 0
53 0 0 0
0 0 0 0
0 0 0 0
16 0 0 0
0 0 0 0
66 1 2 0
31 1 1 0
88 1 1 0
0 0 0 0
25 0 0 0
47 0 0 0
47 0 0 0
26 0 0 0
0 0 0 0
65 1 1 0
0 0 0 0
9 0 0 0
0 0 0 0
6 0 0 0
58 0 0 0
15 0 0 0
19 0 0 0
0 0 0 0
0 0 0 0
20 0 0 0
4 0 0 0
25 0 0 0
28 0 0 0
97 0 0 0
0 0 0 0
0 0 0 0
19 0 0 0
52 0 0 0
195 0 0 0
47 0 0 0
13 0 0 0
18 0 0 0
0 0 0 0
47 0 0 0
30 0 0 0
25 0 0 0
17 0 0 0
18 0 0 0
45 0 0 0
22 0 0 0
25 0 0 0
93 0 0 0
103 0 0 0
0 0 0 0
178 3 1 0
94 0 0 0
2 0 0 0
107 2 0 0
100 0 0 0
0 0 0 0
35 0 0 0
15 0 0 0
10 0 0 0
103 0 0 0
204 0 0 0
13 0 0 0
1 0 0 0
0 0 0 0
17 0 0 0
75 0 0 0
96 0 0 0
142 0 0 0
14 0 0 0
76 0 0 0
4 0 0 0
37 0 0 0
0 0 0 0
53 2 0 0
17 0 0 0
88 0 0 0
83 0 0 0
32 0 0 0
131 0 0 0
53 0 0 0
16 0 0 0
0 0 0 0
5 0 0 0
0 0 0 0
37 0 0 0
55 0 0 0
19 0 0 0
45 0 0 0
0 0 0 0
10 0 0 0
0 0 0 0
43 0 0 0
42 0 0 0
56 0 0 0
9 0 0 0
4 0 0 0
0 0 0 0
3 0 0 0
24 0 0 0
0 0 0 0
0 0 0 0
0 0 0 0
41 0 0 0
0 0 0 0
53 0 0 0
10 0 0 0
0 0 0 0
9 0 0 0
10 0 0 0
53 0 0 0
14 0 0 0
22 0 0 0
22 0 0 0
56 0 0 0
85 0 1 0
26 0 0 0
