N_ch N_D0 N_D N_Ds
21 0 0 0
14 0 0 0
32 0 0 0
15 0 0 0
11 0 0 0
37 0 0 0
11 0 0 0
31 0 0 0
11 0 0 0
13 0 0 0
14 0 0 0
9 0 0 0
21 0 0 0
20 0 0 0
14 0 0 0
13 0 0 0
10 0 0 0
44 0 0 0
8 0 0 0
13 0 0 0
23 0 0 0
20 0 0 0
14 0 0 0
15 0 0 0
17 0 0 0
31 0 0 0
15 0 0 0
15 0 0 0
9 0 0 0
13 0 0 0
37 0 0 0
21 0 0 0
12 0 0 0
18 0 0 0
5 0 0 0
13 0 0 0
12 0 0 0
19 0 0 0
9 0 0 0
13 0 0 0
17 0 0 0
12 0 0 0
14 0 0 0
18 0 0 0
7 0 0 0
15 0 0 0
8 0 0 0
18 0 0 0
21 0 0 0
11 0 0 0
6 0 0 0
19 0 0 0
7 0 0 0
17 0 0 0
11 0 0 0
11 0 0 0
16 0 0 0
10 0 0 0
12 0 0 0
9 0 0 0
16 0 0 0
21 0 0 0
9 0 0 0
36 0 0 0
13 0 0 0
18 0 0 0
29 0 0 0
13 0 0 0
64 0 0 0
14 0 0 0
10 0 0 0
8 0 0 0
10 0 0 0
10 0 0 0
12 0 0 0
12 0 0 0
19 0 0 0
82 0 0 0
13 0 0 0
10 0 0 0
14 0 0 0
10 0 0 0
16 0 0 0
104 0 1 0
9 0 0 0
16 0 0 0
19 0 0 0
21 0 0 0
21 0 0 0
16 0 0 0
6 0 0 0
15 0 0 0
21 0 0 0
17 0 0 0
16 0 0 0
19 0 0 0
17 0 0 0
12 0 0 0
11 0 0 0
14 0 0 0
7 0 0 0
16 0 0 0
18 0 0 0
16 0 0 0
8 0 0 0
22 0 0 0
13 0 0 0
28 0 0 0
11 0 0 0
10 0 0 0
14 0 0 0
20 0 0 0
16 0 0 0
9 0 0 0
9 0 0 0
22 0 0 0
26 0 0 0
6 0 0 0
8 0 0 0
6 0 0 0
12 0 0 0
19 0 0 0
39 0 0 0
14 0 0 0
13 0 0 0
22 0 0 0
15 0 0 0
24 0 0 0
17 0 0 0
10 0 0 0
23 0 0 0
12 0 0 0
22 0 0 0
19 0 0 0
13 0 0 0
18 0 0 0
24 0 0 0
22 0 0 0
37 0 0 0
15 0 0 0
17 0 0 0
11 0 0 0
10 0 0 0
40 0 0 0
14 0 0 0
15 0 0 0
49 0 0 0
37 0 0 0
17 0 0 0
15 0 0 0
11 0 0 0
18 0 0 0
18 0 0 0
19 0 0 0
18 0 0 0
6 0 0 0
19 0 0 0
11 0 0 0
9 0 0 0
7 0 0 0
20 0 0 0
9 0 0 0
18 0 0 0
7 0 0 0
10 0 0 0
16 0 0 0
21 0 0 0
14 0 0 0
27 0 0 0
112 1 0 0
19 0 0 0
10 0 0 0
12 0 0 0
29 0 0 0
20 0 0 0
8 0 0 0
20 0 0 0
11 0 0 0
11 0 0 0
22 0 0 0
7 0 0 0
12 0 0 0
10 0 0 0
47 0 0 0
40 0 0 0
9 0 0 0
14 0 0 0
27 0 0 0
18 0 0 0
24 0 0 0
29 0 0 0
52 0 0 0
8 0 0 0
11 0 0 0
20 0 0 0
8 0 0 0
28 0 0 0
18 0 0 0
11 0 0 0
15 0 0 0
19 0 0 0
18 0 0 0
12 0 0 0
26 0 0 0
